id,name,mode,description,weight,suggestion_value,suggestion_text_if_over,suggestion_text_if_below
1,Title Tag Length,url,Checks <title> length for SEO,5,60,Title too long may get cut in SERP,Title too short lacks keywords
2,Meta Description,url,"Checks <meta name=""description"">",5,160,Too long may truncate,Too short add detail or CTA
3,H1 Tag Presence,url,Ensures H1 exists,5,1,Multiple H1 tags merge or simplify,Missing H1 add primary heading
4,H2/H3 Structure,url,Checks subheadings structure,4,10,Too many headings reduce noise,Too few add logical subtopics
5,Canonical Tag,url,Checks if canonical URL is set,3,1,Multiple canonical tags fix,Missing canonical add one
6,Robots Meta Tag,url,Checks for robots meta tag,3,1,Conflicting robot tags,Missing robots meta tag
7,Internal Links Count,url,Counts internal links on the page,4,10,Too many may dilute authority,Too few add relevant links
8,External Links Count,url,Counts outbound links,4,8,Too many external links,Too few add credible sources
9,Image Alt Text,url,Checks all images have alt text,4,100,Over-optimized alt text,Missing alt text
10,Page Load Speed,url,Measures page load time,5,3,Too slow optimize images/code,please add more
11,Mobile-Friendly,url,Checks mobile responsiveness,5,1,preffered less,Not mobile-friendly
12,HTTPS Usage,url,Checks if HTTPS is used,5,1,preffered less,HTTPS missing add SSL
13,Structured Data,url,Detects schema.org markup,4,1,Invalid schema fix errors,Missing schema markup
14,Canonical URL Match,url,Compares canonical vs current URL,4,1,Canonical mismatch,Missing canonical
15,Word Count,url,Total words on page,3,1200,Too long simplify content,Too short expand content
16,Text-to-HTML Ratio,url,Ratio of visible text to HTML code,3,20,Too much code reduce markup,Too little content add text
17,Keyword in URL,url,Checks if primary keyword is in URL,4,1,Over-optimized keyword stuffing,Keyword missing in URL
18,Backlink Count,url,Number of backlinks (placeholder),3,20,Excessive backlinks check spam quality,Few backlinks build links
19,Social Share Buttons,url,Checks if social share buttons exist,2,1,Too many share buttons,Missing share buttons
20,Robots.txt Check,url,Checks if robots.txt is present,3,1,Invalid or conflicting directives,Missing robots.txt
21,Meta Robots Noindex,url,Checks meta robots for noindex,3,1,Page blocked remove noindex,Missing meta tag
22,Meta Robots Nofollow,url,Checks meta robots for nofollow,3,1,Too restrictive remove nofollow,Missing meta tag
23,Open Graph Title,url,Checks OG title meta tag,2,1,Too long OG title,Missing OG title tag
24,Open Graph Description,url,Checks OG description meta tag,2,1,Too long OG description,Missing OG description tag
25,Twitter Card,url,Checks Twitter card meta tag,2,1,Invalid card type,Missing Twitter card tag
26,Viewport Meta,url,Checks viewport meta tag for mobile,4,1,Misconfigured viewport,Missing viewport meta tag
27,Favicon Presence,url,Detects favicon existence,2,1,Invalid favicon path,Missing favicon
28,Canonical Redirect,url,Checks if page redirects to canonical,4,1,Redirect loop detected,Missing redirect to canonical
29,Broken Links Count,url,Counts broken links on the page,5,0,Too many broken links,Perfect no broken links
