id,name,mode,description,weight,suggestion_value,suggestion_text_if_over,suggestion_text_if_below
1,Word Count,text,Total number of words in the text,5,600,Consider reducing word count; conciseness improves AI interpretability.,Add more depth to reach at least 600 words for better AI and SEO context.
2,Character Count,text,Total number of characters,2,3500,Try shortening long content for better engagement.,Add more descriptive content for better visibility.
3,Sentence Count,text,Counts number of sentences,3,25,Break long sections into shorter paragraphs.,Expand explanations with more context.
4,Paragraph Count,text,Counts number of paragraphs,3,10,Combine short paragraphs for smoother flow.,Separate text into more paragraphs for easier reading.
5,Average Sentence Length,text,Calculates average sentence length,4,20,Shorten sentences; AI and readers prefer clarity.,Slightly lengthen sentences for richer context.
6,Average Word Length,text,Calculates average word length,3,5,Simplify language to improve accessibility.,Use slightly more descriptive vocabulary for depth.
7,Keyword Density (Primary),text,Primary keyword density percentage,5,1.5,Avoid keyword stuffing; keep natural phrasing.,Include target keyword naturally 1–2 more times.
8,Keyword Density (Secondary),text,Secondary keyword density,4,1,Reduce repetitive secondary keywords.,Add supporting keywords to enrich context.
9,Stopword Ratio,text,Ratio of stopwords to total words,3,0.45,Reduce filler words to improve clarity.,Add more natural connectors to improve sentence flow.
10,Flesch Reading Ease,text,Readability score using Flesch formula,5,70,Content may be too complex; simplify sentences for better accessibility.,Increase variety and depth slightly to reach an optimal readability score.
11,Flesch-Kincaid Grade,text,Readability grade level,5,8,Simplify language; aim for grade level 8 or below for wider reach.,Add more technical detail or complexity if content feels too simple.
12,Gunning Fog Index,text,Readability estimation,4,12,Sentences may be too long or complex; aim for a lower Fog Index.,Add slightly more complex phrasing or vocabulary for professional tone.
13,Passive Voice Usage,text,Percentage of sentences in passive voice,4,10,Reduce passive voice; use more active phrasing for clarity.,Maintain balance; too few passive forms can limit stylistic flow.
14,Adverb Count,text,Counts adverbs in text,2,30,Too many adverbs reduce clarity; replace with stronger verbs.,Add a few adverbs to enhance tone or emotional emphasis.
15,Pronoun Usage,text,Counts pronouns for clarity,3,5,Overuse of pronouns may confuse readers; use clearer nouns.,Add pronouns to make sentences feel more natural and personal.
16,Transition Words Usage,text,Percentage of transition words,3,30,Too many transition words may reduce impact; simplify sentences.,Add more transition words to improve logical flow between ideas.
17,Subheading Count,text,Counts H2/H3 in content,4,5,Too many subheadings may fragment content.,Add more subheadings to organize ideas clearly.
18,H1 Presence,text,Checks if H1 heading exists,5,1,Multiple H1 tags found; use only one for clarity.,Add one H1 tag to define the main topic clearly.
19,H2 Presence,text,Checks if H2 headings exist,4,2,Too many H2 headings may dilute hierarchy.,Add at least two H2 headings to structure content better.
20,Meta Title Length,text,Title length optimization,4,60,Title too long; shorten for better SERP display.,Increase title length to include more descriptive keywords.
21,Meta Description Length,text,Length of meta description,4,155,Meta description too long; may be truncated in search results.,Add more detail or keywords to strengthen description.
22,Keyword in Title,text,Checks if primary keyword in title,5,1,Avoid repeating keyword in title.,Include primary keyword once in the title for relevance.
23,Keyword in Subheadings,text,Primary keyword in subheadings,5,1,Too many subheading keyword repetitions; may appear stuffed.,Include the primary keyword in at least one subheading.
24,Keyword in First 100 Words,text,Keyword usage at start,5,1,Avoid forced keyword placement at the start.,Include the main keyword within the first 100 words naturally.
25,Keyword in Last 100 Words,text,Keyword usage at end,3,1,Avoid repeating keyword unnaturally at the end.,Add main keyword naturally in conclusion or last 100 words.
26,Internal Links Count,text,Number of internal links in text,4,3,Too many internal links may distract readers.,Add internal links to related content to improve navigation.
27,External Links Count,text,Number of external links in text,4,3,Reduce excessive external links to retain user focus.,Add credible external links to support authority and trust.
28,Anchor Text Diversity,text,Diversity of anchor texts,3,0.6,Anchor texts too repetitive; vary link phrases.,Increase consistency with recognizable keywords in links.
29,Sentence Variety,text,Variety in sentence structure,4,0.7,Overly repetitive sentence structure; vary with compound or complex forms.,Maintain natural flow but ensure some pattern consistency.
30,Paragraph Length,text,Average paragraph length,3,120,Paragraphs too long; split into smaller sections.,Paragraphs too short; expand ideas to improve depth.
31,Readability Level,text,Estimated reading grade,5,8,Content is too complex; simplify vocabulary and sentence structure.,Increase detail or vocabulary complexity slightly for a more authoritative tone.
32,Content Originality,text,Detects duplicate content,5,90,Duplicate content detected; rewrite or rephrase for uniqueness.,Increase content richness to reach higher originality score.
33,Plagiarism Check,text,Flag possible plagiarism,5,5,High plagiarism percentage; revise or cite properly.,Excellent originality level; maintain proper attribution.
34,Keyword Prominence,text,Position of keyword in text,4,1,Keyword appears too frequently at the start; reduce over-optimization.,Include keyword earlier in the text for better prominence.
35,Keyword Distribution,text,How evenly keywords appear,4,0.8,Keywords are clustered; distribute evenly across sections.,Ensure keyword appears consistently throughout the content.
36,Long-tail Keywords,text,Presence of long-tail keywords,4,2,Too many long-tail keywords may confuse topic focus.,Add more long-tail keywords to capture niche search intent.
37,LSI Keywords,text,Presence of semantically related keywords,4,3,Too many semantically related terms; may reduce focus.,Add more LSI (related) keywords to improve topical relevance.
38,Semantic Relevance,text,Text relevance to topic,5,0.85,Some parts stray off-topic; improve topical focus.,Add supporting details or subtopics to strengthen semantic depth.
39,Coherence Score,text,Logical flow of ideas,4,0.8,Sentences may feel disconnected; improve flow with transitions.,Add better transitions to maintain logical continuity.
40,Clarity Score,text,Ease of understanding,4,0.85,Text may be confusing or overly technical; simplify explanations.,Add precise details to improve clarity and context.
41,Spelling Errors,text,Counts spelling mistakes,5,2,Too many spelling errors found; proofread the text carefully.,Excellent spelling accuracy; maintain quality control.
42,Grammar Errors,text,Counts grammar mistakes,5,2,Grammar issues detected; revise sentences for correctness.,Excellent grammar usage; maintain the same standard.
43,Punctuation Accuracy,text,Checks punctuation usage,3,90,Overuse or misuse of punctuation; review commas and periods.,Add appropriate punctuation for better readability.
44,Readability Sentences,text,Sentence complexity,4,20,Sentences too long; split for better readability.,Sentences too short; combine for natural rhythm.
45,Stopword Optimization,text,Stopword management for SEO,3,0.45,Too many stopwords may reduce keyword signal.,Use more stopwords naturally to improve sentence flow.
46,Content Gap,text,Detects missing subtopics,4,0.8,Content lacks coverage on key subtopics; expand sections.,Content covers too much; focus on the most relevant subtopics.
47,Content Redundancy,text,Detect repeated points,3,0.3,Repeated points detected; consolidate to avoid redundancy.,Add reinforcement or summaries where ideas feel incomplete.
48,Heading Hierarchy,text,H1→H2→H3 proper structure,4,1,Incorrect heading hierarchy; adjust to follow logical structure.,Add missing heading levels for proper semantic hierarchy.
